name,avg_func_loc,cyclomatic,cyclomaticDensity,dependencies,hal_bugs,hal_difficulty,hal_distinct_operands,hal_distinct_operators,hal_effort,hal_length,hal_time,hal_total_operands,hal_total_operators,hal_vocabulary,hal_volume,line,logical_loc,params,physical_loc
lib/ReactPerf.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactTestUtils.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/getVendorPrefixedEventName.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactComponentTreeHook.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactCurrentOwner.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactDebugCurrentFrame.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/checkPropTypes.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
__mocks__/ReactDOM.js,4.0,2,50.0,2,0.0351620153605,3.75,10,5,395.572672805,27,21.9762596003,15,12,15,105.486046081,10,4,0,8
shared/ARIADOMPropertyConfig.js,54.0,1,1.85185185185,0,0.331450261278,4.73684210526,57,5,4710.08266027,167,261.671258904,108,59,62,994.350783835,12,54,0,63
shared/CSSProperty.js,1.0,1,1.13636363636,0,0.715402208335,10.2604166667,96,10,22020.9742253,319,1223.38745696,197,122,106,2146.20662501,12,88,4,136
