name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc
org.apache.tools.ant.taskdefs.Tar,5.0,4.0,0.0,18.0,35.0,6.0,0.0,18.0,4.0,0.75,196.0,0.0,0.0,0.951219512195,0.5,2.0,2.0,37.8,1.0,1.0
org.apache.tools.ant.taskdefs.Chmod,7.0,4.0,0.0,16.0,23.0,15.0,0.0,16.0,6.0,0.722222222222,135.0,1.0,0.0,0.928571428571,0.857142857143,3.0,3.0,17.8571428571,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$NestedCreator,1.0,1.0,0.0,7.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
org.apache.tools.ant.Map,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
org.apache.tools.ant.PathTokenizer,3.0,1.0,0.0,10.0,16.0,0.0,2.0,8.0,3.0,0.166666666667,100.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,31.3333333333,1.66666666667,2.0
org.apache.tools.tar.TarBuffer,21.0,1.0,0.0,11.0,35.0,38.0,2.0,9.0,17.0,0.645454545455,607.0,0.818181818182,0.0,0.0,0.293650793651,0.0,0.0,27.380952381,1.14285714286,3.0
org.apache.tools.ant.taskdefs.Javac,24.0,4.0,1.0,32.0,93.0,128.0,2.0,31.0,16.0,0.816053511706,1336.0,1.0,4.0,0.772277227723,0.270833333333,3.0,3.0,54.125,1.95833333333,6.0
org.apache.tools.ant.DefaultLogger,10.0,1.0,0.0,15.0,30.0,27.0,2.0,13.0,8.0,0.777777777778,192.0,1.0,0.0,0.0,0.4,0.0,0.0,17.8,1.8,4.0
org.apache.tools.ant.IntrospectionHelper,14.0,1.0,0.0,48.0,62.0,63.0,4.0,44.0,9.0,0.841025641026,785.0,0.466666666667,0.0,0.0,0.333333333333,0.0,0.0,54.0,5.07142857143,33.0
org.apache.tools.ant.BuildEvent,11.0,2.0,0.0,11.0,15.0,13.0,4.0,8.0,11.0,0.75,97.0,1.0,3.0,0.2,0.220779220779,0.0,0.0,7.27272727273,1.0,1.0
org.apache.tools.ant.taskdefs.Jikes,2.0,1.0,0.0,15.0,11.0,0.0,1.0,14.0,0.0,0.0,57.0,1.0,1.0,0.0,0.625,0.0,0.0,26.5,1.0,1.0
org.apache.tools.ant.taskdefs.Get,6.0,3.0,0.0,15.0,25.0,1.0,0.0,15.0,6.0,0.7,196.0,0.75,0.0,0.880952380952,0.833333333333,2.0,2.0,31.0,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$1,2.0,1.0,0.0,7.0,4.0,0.0,1.0,6.0,1.0,0.0,16.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,6.5,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$2,2.0,1.0,0.0,9.0,5.0,0.0,1.0,8.0,1.0,0.0,32.0,1.0,0.0,0.0,0.625,0.0,0.0,14.0,1.0,1.0
org.apache.tools.ant.taskdefs.Rename,5.0,3.0,0.0,8.0,16.0,0.0,0.0,8.0,5.0,0.666666666667,80.0,1.0,0.0,0.90243902439,0.8,0.0,0.0,14.4,1.0,1.0
org.apache.tools.ant.Location,5.0,1.0,0.0,24.0,10.0,8.0,20.0,4.0,3.0,0.5,69.0,0.75,1.0,0.0,0.583333333333,0.0,0.0,12.0,1.4,3.0
org.apache.tools.ant.IntrospectionHelper$5,2.0,1.0,0.0,10.0,5.0,0.0,1.0,9.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.0,0.0,10.5,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$6,2.0,1.0,0.0,10.0,5.0,0.0,1.0,9.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.0,0.0,10.5,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$3,2.0,1.0,0.0,9.0,4.0,0.0,1.0,8.0,1.0,0.0,21.0,1.0,0.0,0.0,0.6,0.0,0.0,9.0,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$4,2.0,1.0,0.0,10.0,6.0,0.0,1.0,9.0,1.0,0.0,26.0,1.0,0.0,0.0,0.6,0.0,0.0,11.5,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$9,2.0,1.0,0.0,10.0,5.0,0.0,1.0,9.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.0,0.0,10.5,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$7,2.0,1.0,0.0,10.0,5.0,0.0,1.0,9.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.0,0.0,10.5,1.0,1.0
org.apache.tools.ant.taskdefs.Filter,4.0,3.0,0.0,6.0,6.0,2.0,0.0,6.0,4.0,0.666666666667,25.0,1.0,0.0,0.925,0.75,0.0,0.0,4.75,1.0,1.0
org.apache.tools.ant.IntrospectionHelper$8,2.0,1.0,0.0,10.0,5.0,0.0,1.0,9.0,1.0,0.0,24.0,1.0,0.0,0.0,0.6,0.0,0.0,10.5,1.0,1.0
com.oreilly.servlet.MailPrintStream,5.0,4.0,0.0,6.0,9.0,10.0,1.0,5.0,3.0,0.75,81.0,0.0,0.0,0.928571428571,0.44,1.0,1.0,15.0,2.2,5.0
org.apache.tools.ant.Project,63.0,1.0,0.0,90.0,169.0,1727.0,56.0,37.0,48.0,0.960729312763,1737.0,0.565217391304,0.0,0.0,0.134920634921,0.0,0.0,26.2063492063,1.66666666667,18.0
org.apache.tools.ant.taskdefs.Deltree,4.0,3.0,0.0,9.0,17.0,4.0,0.0,9.0,3.0,0.666666666667,133.0,1.0,0.0,0.925,0.5,1.0,1.0,32.0,1.0,1.0
org.apache.tools.ant.taskdefs.Taskdef,6.0,3.0,0.0,12.0,15.0,1.0,1.0,11.0,6.0,0.6,75.0,1.0,0.0,0.880952380952,0.75,0.0,0.0,11.1666666667,1.0,1.0
org.apache.tools.ant.BuildListener,7.0,1.0,0.0,9.0,7.0,21.0,5.0,4.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
org.apache.tools.ant.Path,12.0,1.0,0.0,13.0,34.0,46.0,5.0,8.0,10.0,0.727272727273,246.0,0.5,1.0,0.0,0.290909090909,0.0,0.0,19.3333333333,2.33333333333,4.0
org.apache.tools.ant.DesirableFilter,2.0,1.0,0.0,5.0,6.0,1.0,0.0,5.0,2.0,2.0,45.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,21.5,4.5,8.0
org.apache.tools.ant.taskdefs.Zip,9.0,4.0,1.0,23.0,51.0,20.0,1.0,22.0,5.0,0.78125,392.0,1.0,0.0,0.906976744186,0.425925925926,2.0,2.0,42.1111111111,1.0,1.0
org.apache.tools.ant.taskdefs.Patch,10.0,4.0,0.0,9.0,19.0,19.0,0.0,9.0,10.0,0.809523809524,181.0,1.0,0.0,0.836363636364,0.36,1.0,1.0,16.4,1.0,1.0
org.apache.tools.ant.taskdefs.GZip,6.0,3.0,0.0,16.0,24.0,11.0,0.0,16.0,4.0,0.8,137.0,1.0,0.0,0.880952380952,0.4,2.0,2.0,21.5,1.0,1.0
org.apache.tools.ant.Target,15.0,1.0,0.0,21.0,37.0,51.0,10.0,13.0,13.0,0.797619047619,221.0,1.0,1.0,0.0,0.366666666667,0.0,0.0,13.3333333333,1.53333333333,3.0
